filename,relative_path,description,file_size_bytes,row_count,column_count,sha256_checksum,verification_status
analysis_ready_dataset_v2.parquet,data_collection_pipeline\processed_data\analysis_ready_dataset_v2.parquet,Processed ARD v2 Parquet,243149,3333,55,a2b8b27b995ca0769cb538a185b7d33388005be60bc3604de25c52ea98f1c79a,VERIFIED_EXISTENT
analysis_ready_dataset_v2.csv,data_collection_pipeline\processed_data\analysis_ready_dataset_v2.csv,Processed ARD v2 CSV,1623127,3333,55,677a8cbaf76786d8e1b1ace9133aee6733a00a90c860473bd52163e8cc574627,VERIFIED_EXISTENT
cpcb_cleaned_historical.csv,data_collection_pipeline\processed_data\cpcb_cleaned_historical.csv,Cleaned Ground Data,609333,3325,27,c2e3b12ef65cc132806edb76648577690e076ee397aeddd8dc763c7660bd519f,VERIFIED_EXISTENT
satellite_predictors.csv,data_collection_pipeline\processed_data\satellite_predictors.csv,Collocated Satellite Predictors,77468,161,42,de68412988b73576143e7e1ece97ba5788d94207f90f54c74eda3c760915b706,VERIFIED_EXISTENT
station_static_features.csv,data_collection_pipeline\processed_data\station_static_features.csv,Station GIS Static Features,11884,283,5,6698dd8d13e5cd66cb2e37e2ac7460f987155937de2261044275627e871e49df,VERIFIED_EXISTENT
validated_station_metadata.csv,data_collection_pipeline\metadata\validated_station_metadata.csv,Master Station Metadata Registry,30748,283,10,9d553a28b04bcf2d70d65e673638b38b25cafc7f25ddb9b7b5bd963803f8804f,VERIFIED_EXISTENT
