boundary_type,timestamp_utc,station_id,station_name,city,state,latitude,longitude,pm25_value,source_dataset
Earliest Observation,2020-01-01 00:00:00+00:00,ST_d6943ddf,SPARTAN - IIT Kanpur,Kanpur,Uttar Pradesh,26.519,80.233,12.3,cpcb_cleaned_historical.csv (Historical baseline anchor seed)
Latest Observation,2026-07-13 19:00:00+00:00,ST_86a1774d,"Anand Vihar, Delhi - DPCC",Delhi,Delhi,28.63576,77.22445,173.34,cpcb_cleaned_historical.csv (Real-time stream sample feed)
