merge_stage,primary_key,total_input_records,merged_records,unmatched_records,duplicate_keys,merge_success_rate_pct,integrity_status
Ground Observations Base,station_id + timestamp_utc,3333,3333,0,0,100.0,PASS
ERA5 Meteorology Collocation,station_id + timestamp_utc (nearest grid),3333,3324,9,0,99.73,PASS
Sentinel-5P Satellite Collocation,station_id + date (same-day orbit),3333,3324,9,0,99.73,PASS
MODIS AOD Collocation,station_id + date (cloud-filtered),3333,2076,1257,0,62.29,PASS WITH OBSERVATIONS
Static GIS Feature Join,station_id,3333,3333,0,0,100.0,PASS
